Strain,Stress,Temp,Rate
0.011954379,271.489502,293,0.0001
0.012114652,271.9171149,293,0.0001
0.01227607,272.4119903,293,0.0001
0.012433274,272.9013211,293,0.0001
0.012605881000000001,273.373787,293,0.0001
0.012771757,273.8632907,293,0.0001
0.012926465,274.28384389999997,293,0.0001
0.013090306000000001,274.73191069999996,293,0.0001
0.013258282,275.1932382,293,0.0001
0.013396238999999999,275.6928527,293,0.0001
0.013547807,276.0906408,293,0.0001
0.013698703000000001,276.5814778,293,0.0001
0.01385378,277.0111372,293,0.0001
0.014012185,277.50311610000006,293,0.0001
0.014161942,277.95556170000003,293,0.0001
0.014321345,278.4382717,293,0.0001
0.014479791,278.8516592,293,0.0001
0.014617821999999999,279.3140508,293,0.0001
0.014771395,279.78921160000004,293,0.0001
0.014922321,280.20827819999994,293,0.0001
0.015073763,280.6558507,293,0.0001
0.015223611000000001,281.1021296,293,0.0001
0.015370203999999998,281.6002919,293,0.0001
0.015533306,281.9762946000001,293,0.0001
0.0156903,282.46842169999996,293,0.0001
0.015849508999999998,282.870374,293,0.0001
0.016008881000000003,283.3753147,293,0.0001
0.016165184,283.81238060000004,293,0.0001
0.016315209,284.2667289,293,0.0001
0.016478424,284.6817108,293,0.0001
0.016614847,285.1073336,293,0.0001
0.016764762,285.60457080000003,293,0.0001
0.016916613,286.01370180000004,293,0.0001
0.017083803,286.4307985,293,0.0001
0.01723224,286.8097752,293,0.0001
0.017401408,287.29798230000006,293,0.0001
0.017558835,287.6800689,293,0.0001
0.017702568000000002,288.1642487,293,0.0001
0.017852629,288.5325333,293,0.0001
0.017997793999999998,288.99436460000004,293,0.0001
0.018150948,289.4217512,293,0.0001
0.018289134,289.88711980000005,293,0.0001
0.018444497,290.27977139999996,293,0.0001
0.0185977,290.70063569999996,293,0.0001
0.018758339,291.13288680000005,293,0.0001
0.018906456000000002,291.52432610000005,293,0.0001
0.019055773999999998,291.9425958,293,0.0001
0.019207113999999997,292.32813799999997,293,0.0001
0.01935328,292.7771443,293,0.0001
0.019505974,293.1666338,293,0.0001
0.019657522,293.63707180000006,293,0.0001
0.019820797,294.04451439999997,293,0.0001
0.019978757,294.4809764,293,0.0001
0.020141015,294.8840305,293,0.0001
0.020298491000000002,295.3312704,293,0.0001
0.020452935,295.6999036,293,0.0001
0.02061474,296.0800418,293,0.0001
0.020761761,296.529861,293,0.0001
0.020906183000000002,296.9209913,293,0.0001
0.021069277,297.3240022,293,0.0001
0.021219977,297.7035937,293,0.0001
0.021379434,298.144937,293,0.0001
0.021543028,298.5291558,293,0.0001
0.021693791,299.00478680000003,293,0.0001
0.021842415,299.3853735,293,0.0001
0.022001777,299.80729449999995,293,0.0001
0.022157055,300.14451139999994,293,0.0001
0.022300051,300.5740919,293,0.0001
0.022447321,300.9794431,293,0.0001
0.022594463,301.36604910000005,293,0.0001
0.02276112,301.737408,293,0.0001
0.022928485,302.1183391,293,0.0001
0.02308373,302.518603,293,0.0001
0.02323799,302.8870816,293,0.0001
0.023393835,303.3137285,293,0.0001
0.023546737999999998,303.67599060000003,293,0.0001
0.023693872999999997,304.10198130000003,293,0.0001
0.023850444,304.49208860000005,293,0.0001
0.023995296,304.890471,293,0.0001
0.024165081,305.25159130000003,293,0.0001
0.024327684,305.65610069999997,293,0.0001
0.024480734,306.02254320000003,293,0.0001
0.024645583999999998,306.4147776,293,0.0001
0.024801047000000003,306.7918076,293,0.0001
0.024945006000000002,307.1708614,293,0.0001
0.02508777,307.54568539999997,293,0.0001
0.025251013,307.9119358,293,0.0001
0.025405699,308.3469942,293,0.0001
0.025568526,308.6952137,293,0.0001
0.025721624,309.11269960000004,293,0.0001
0.025888011000000002,309.45304419999997,293,0.0001
0.026054482,309.8602608,293,0.0001
0.02620979,310.2107729,293,0.0001
0.026368133,310.6111285,293,0.0001
0.026530735,310.9569298,293,0.0001
0.026684344,311.31359669999995,293,0.0001
0.026844006,311.7036584,293,0.0001
0.027002055,312.02354560000003,293,0.0001
0.027160338,312.4105184,293,0.0001
0.027320181000000002,312.7923123,293,0.0001
0.027487004,313.2119502,293,0.0001
0.027639679,313.543685,293,0.0001
0.02778914,313.9312305,293,0.0001
0.027937695,314.2699228,293,0.0001
0.028077841,314.65222610000006,293,0.0001
0.028228785,314.97581230000003,293,0.0001
0.028392779,315.3826979,293,0.0001
0.028526011,315.67564849999997,293,0.0001
0.028698177000000002,316.0024357,293,0.0001
0.028866708999999997,316.4062281,293,0.0001
0.02902423,316.7791973,293,0.0001
0.029170905,317.1379918,293,0.0001
0.029326325,317.4631266,293,0.0001
0.029483855,317.86620120000003,293,0.0001
0.029641552999999998,318.183856,293,0.0001
0.029804327000000002,318.57800539999994,293,0.0001
0.029963701000000002,318.8864037,293,0.0001
0.030124841,319.2625486,293,0.0001
0.030273273,319.5847137,293,0.0001
0.030443614,319.9719119,293,0.0001
0.030595005,320.2821484,293,0.0001
0.030743265,320.5860963,293,0.0001
0.030891433,320.967002,293,0.0001
0.031039356,321.31737250000003,293,0.0001
0.031193684,321.7052526,293,0.0001
0.031358061,322.0345583,293,0.0001
0.031504383999999996,322.37866160000004,293,0.0001
0.031653196,322.6700777,293,0.0001
0.031813922,323.0477254,293,0.0001
0.031966022000000004,323.3561049,293,0.0001
0.032117155,323.73602919999996,293,0.0001
0.032270024,324.0049141,293,0.0001
0.032426412,324.39176789999993,293,0.0001
0.032574333999999996,324.7161562,293,0.0001
0.032737739,325.0500481,293,0.0001
0.032897181,325.3607771,293,0.0001
0.033049722999999996,325.7239284,293,0.0001
0.033224361,326.064526,293,0.0001
